STT	BỐI CẢNH	NỘI DỤNG - VOICE	TEXT MÀN HÌNH	NOTE
3	Hai máy đổi chỗ cho nhau trên quầy. Overlay to	"Mười lăm ngày, đổi sang máy khác miễn phí. Lỗi hay không lỗi cũng đổi."	15 NGÀY — ĐỔI MÁY MIỄN PHÍ	8–15s (ĐƯỢC GÌ). Nói đúng chữ "đổi sang máy khác". ⛔ Không nói "15 ngày đổi trả" chung chung — đổi máy và trả lại lấy tiền là HAI việc khác nhau.
4	4 chữ overlay hiện lần lượt, mỗi chữ một cảnh: cốc nước cạnh máy · máy trượt khỏi bàn (dựng an toàn) · tô vít lạ · ngón tay chỉ một điểm trên màn	"Nhưng bảo hành không nhận: máy vào nước, rơi vỡ, đã tháo sửa ở ngoài, và điểm chết trên màn hình."	KHÔNG BẢO HÀNH: vào nước · rơi vỡ · sửa ngoài · điểm chết màn	15–24s (KHÔNG ĐƯỢC GÌ). Cảnh minh hoạ dựng an toàn — dùng máy hỏng của kỹ thuật, KHÔNG làm hỏng máy đang bán.
5	Cận phiếu bảo hành / trang chính sách trên màn	"Bảo hành sáu tháng main, màn, phím. Pin ba tháng. Nói trước để bạn không phải cãi sau."	Máy cũ/likenew · 6 tháng main–màn–phím · pin 3 tháng	24–28s (CHỐT). ⛔ Không viết "12 tháng" ở cảnh này — 34/36 máy trong danh sách được viết là 6 tháng.
6	Chữ overlay	"Gửi cho đứa bạn sắp mua máy cũ."	GỬI CHO ĐỨA BẠN SẮP MUA MÁY CŨ	28–30s (CTA). Đúng 1 CTA. ⛔ Không đưa con số khấu trừ 10%/20% vào video — chờ chủ shop trả lời câu 5. Khách hỏi thì trả lời thật ở comment/inbox.
				
Kịch bản 6: Ba chiếc dưới 13 triệu trên kệ 71 Thiên Hiền - có mẫu - voice thật				
1	Ba máy đóng nắp, xếp cạnh nhau trên mặt quầy. Không hiện giá	"Bố mẹ đưa mười ba triệu mua máy đi học. Ba chiếc này đang trên kệ."	13 TRIỆU — BA CHIẾC THẬT	0–4s (HOOK). ⛔ KHÔNG hiện giá ở giây đầu. Đây là ngân sách của khách, không phải giá máy.
2	Tay mở lần lượt ba nắp máy, ba màn hình sáng lên	"Cả ba cùng RAM mười sáu, ổ năm trăm mười hai, màn mười bốn inch."	16GB RAM · 512GB · 14 inch	4–10s. Mở lần lượt ba nắp máy, ba màn sáng lên.
3	Cầm máy lên, xoay một vòng, gõ thử vài phím	"Latitude 7420 vỏ nhôm — chip đời mười một, dòng doanh nhân."	Dell Latitude 7420 vỏ nhôm · i7-1185G7	10–14s. ⛔ Không nói "nhẹ", "mỏng nhẹ" — chưa đặt lên cân thật.
4	Gập màn 360 độ, đặt xuống bàn, vuốt cuộn trang bằng ngón tay	"Latitude 7400 gập xoay — màn cảm ứng, lật ngược thành bảng để đọc tài liệu."	Dell Latitude 7400 2in1 · i7-8665U · cảm ứng	14–19s. ⛔ Không cho bút cảm ứng vào khung hình — máy này không kèm bút.
5	Gập xoay, vuốt màn	"Inspiron 7415 — cũng gập xoay, chạy chip Ryzen 7."	Dell Inspiron 7415 2in1 · Ryzen 7-5700U	19–22s. Gập xoay, vuốt màn bằng ngón tay.
6	Người thật nhìn camera, ba máy phía trước	"Nói thật: cả ba là máy đã qua sử dụng, chip không phải đời mới nhất."	Cả ba là máy đã qua sử dụng	22–27s (NÓI THẬT). Đây là chỗ tạo niềm tin — không hạ giọng, không lướt nhanh qua.
7	Overlay ba giá, mỗi giá cạnh đúng máy đó	"Giá từ mười triệu sáu tám. Bảo hành sáu tháng main, màn, phím, pin ba tháng."	10.680.000đ · 11.280.000đ · 12.980.000đ · Bảo hành 6 tháng main–màn–phím · pin 3 tháng	27–33s. Giá chỉ xuất hiện từ đây. ⛔ Không nói "còn X máy". Sáng hôm quay PHẢI gọi shop xác nhận giá + tag bảo hành + máy còn hay hết.
8	Chữ overlay + biểu tượng tin nhắn	"Nhắn tin mình kiểm tra máy còn không."	NHẮN TIN KIỂM TRA MÁY CÒN KHÔNG	33–36s (CTA). Đúng 1 CTA. ⛔ Không gắn "theo dõi trang" — phí lượt người đang sẵn sàng mua.
				
