STT,BỐI CẢNH,NỘI DỤNG - VOICE,TEXT  MÀN HÌNH,NOTE
3,"Cận chiếc thứ nhất, tay xoay màn 360 độ cho thấy nó gập được","""Chiếc ít tiền nhất. Mười sáu GB RAM, ổ hai trăm năm sáu, màn mười ba inch xoay gập.""","Latitude 7390 2in1 · 16GB · 256GB · 13,3 inch · 8.290.000đ",11–19s · ⚠️ sáng ngày quay gọi 0928939666 xác minh lại giá
4,"Cận chiếc thứ hai, mở nắp thường, KHÔNG xoay màn, KHÔNG chạm tay lên màn","""Chiếc đời chip mới nhất, màn mười bốn inch rộng hơn. Chiếc này không cảm ứng, không xoay gập được.""",Latitude 7420 vỏ carbon · 16GB · 256GB · 14 inch · 9.380.000đ,19–26s · ⛔ cảnh này sai là cả bài sai — tên máy không có chữ cảm ứng
5,"Cận chiếc thứ ba, tay mở thư mục đầy file cho thấy ổ rộng","""Chiếc ổ lớn nhất, năm trăm mười hai, gấp đôi hai chiếc kia. Cũng là chiếc đắt nhất trong ba.""","Latitude 5310 2in1 · 16GB · 512GB · 13,3 inch · 9.880.000đ",26–32s
6,"Ba máy cùng khung, tay đặt tờ giấy bảo hành xuống trước ba máy","""Cả ba đều là máy đã qua sử dụng. Bảo hành sáu tháng bo mạch, màn hình, bàn phím. Pin ba tháng.""","Comment ngân sách + ngành học, mình gợi ý chiếc nào.",32–36s (CHỐT)
"Kịch bản 4: 700 nghìn đó mua được gì - không mẫu - voice thật · Thời lượng 33 giây · Quay dọc 9:16 1080x1920 tại 71 Thiên Hiền · Máy quay: hai chiếc Dell Latitude 5300 2in1 — bản ổ 256GB và bản ổ 512GB — đặt cạnh nhau cùng một khung · Điểm mạnh của hình là hai máy trông giống hệt nhau, đừng đổi góc giữa hai máy · Phụ đề bắt buộc · ⛔ Không hứa nâng ổ cứng về sau vì shop chưa kiểm khe cắm từng máy, không nói ""còn hàng"", không nói bản 512GB đáng mua hơn",,,,
1,"Hai máy cùng dòng mở nắp đặt sát nhau, giống hệt nhau trong khung","""Hai chiếc này giống hệt nhau. Chênh bảy trăm mười nghìn.""",Cùng một chiếc máy — chênh 710.000đ,0–4s (HOOK)
2,"Tay chỉ lần lượt sang từng máy, chữ hiện dưới mỗi máy","""Cùng con chip, cùng mười sáu GB RAM. Khác đúng một thứ: ổ cứng.""",256GB — 8.980.000đ · 512GB — 9.690.000đ,4–10s · ⚠️ sáng ngày quay gọi 0928939666 xác minh lại cả hai giá
3,"Cận màn máy bản 256GB đang mở thư mục tài liệu học, dung lượng còn nhiều","""Khi nào hai trăm năm sáu là đủ: tài liệu để trên Drive, học kinh tế hay văn phòng, ảnh để trong điện thoại.""",Đừng thêm tiền nếu...,"10–18s · nói chiều ""đừng thêm tiền"" TRƯỚC, không đảo thứ tự"
4,"Cận màn máy bản 512GB đang mở thư mục nặng, nhiều file","""Khi nào nên thêm: ngành phải cài phần mềm nặng, hay quay dựng video, hay tải phim về xem offline.""",Nên thêm nếu...,18–25s
5,"Tay đặt tờ giấy nhỏ ghi ""700.000đ"" xuống giữa hai máy","""Đừng tính là thêm bảy trăm nghìn để có thêm ổ. Tính xem bảy trăm nghìn đó mua được gì khác cho việc học.""","700.000đ — nếu không mua ổ, bạn mua được gì?",25–30s · CẢNH CHÍNH — đây là ý người xem mang về
6,"Hai máy lại cùng khung, gập cả hai nắp xuống cùng lúc","""Bên mình chưa kiểm khe cắm ổ từng máy, nên không hứa sau này nâng ổ lên được.""","Comment ngành bạn học, mình nói nên lấy bản nào.",30–33s (CHỐT)
"Kịch bản 5: Hai mươi giây soi điểm chết - không mẫu - voice thật · Thời lượng 36 giây · Quay dọc 9:16 1080x1920 tại quầy 71 Thiên Hiền · Máy quay: Dell Latitude 7400 2in1 i7-8665U 16GB 512GB · Phòng tắt bớt đèn, không để đèn trần hắt lên mặt kính màn, quay màn chính diện tránh vân moiré · Phụ đề bắt buộc · ⛔ Không dàn dựng máy có điểm chết rồi quay, không chèn ảnh điểm chết lấy trên mạng, không nói ""còn hàng"" hay ""còn mấy máy"", không hứa bảo hành điểm chết",,,,
1,"Màn hình đen kín chiếm hết khung, phòng tối","""Cái này bên mình không bảo hành.""",Điểm chết trên màn KHÔNG thuộc diện bảo hành,0–4s (HOOK) · nói phần bất lợi ngay giây đầu
2,"Lùi ra thấy cả máy đặt trên quầy, tay mở ảnh trắng toàn màn hình","""Màn hình thì có bảo hành. Nhưng điểm chết thì không. Nên bạn phải tự soi, ngay tại quầy.""",,4–11s · không cắt giữa câu này
3,"Cận màn trắng, ống kính rà chậm từ góc trái trên sang phải dưới, rồi đổi sang ảnh đen rà lại","""Mở ảnh trắng kín màn. Rồi ảnh đen. Điểm chết, vệt sọc, chỗ ám màu lộ ra hết. Mất đúng hai mươi giây.""",Ảnh trắng → ảnh đen,"11–19s · máy quay đi chậm và đều · nếu màn sạch thì nói rõ ""màn này sạch"", không giả vờ tìm ra lỗi"
4,"Tay xoay màn chậm hết một vòng 360 độ, rồi thả tay ở khoảng 100 độ, giữ khung 3 giây","""Máy này xoay gập nên soi thêm hai thứ. Xoay chậm hết vòng, nghe tiếng lạ. Thả tay giữa đường, màn phải đứng yên.""",Thả tay — màn phải đứng yên,"19–27s · giữ đủ 3 giây sau khi thả tay, cắt sớm là hỏng cảnh chứng minh"
5,Ngón tay vẽ một đường liền qua bốn góc và giữa màn cảm ứng,"""Vẽ một đường liền qua bốn góc và giữa màn. Xem có chỗ nào mất nét không.""",,27–32s
6,"Máy gập phẳng 360 độ đặt trên quầy, chữ lớn","""Soi ở cửa hàng nào cũng được. Về nhà đổi ý thì bạn còn mười lăm ngày đổi sang máy khác.""",Latitude 7400 2in1 · 16GB · 512GB · 10.680.000đ — nhắn tin mình kiểm tra máy còn không.,32–36s (CHỐT) · ⚠️ sáng ngày quay gọi 0928939666 xác minh giá và máy còn hay hết
